"Timestamp","Respondents' Consent","What is your name? (optional)","Which college department are you part of?","What is your current college year?","Are you already aware of what SOGIE Equality Bill is?","How much knowledge would you describe yourself having regarding LGBTQIA+?","What is your assigned sex at birth?","What is your Gender Identity?","How would you describe your Gender Expression?","How would you describe your Sexual Orientation","Will SOGIE Bill prevent the discrimination based on sexual orientation and gender identity?","Will SOGIE Bill give equal access to LGBTQIA+ individual's employment?","Will SOGIE Bill help promote programs for non-discrimination and diversity in schools and workplace?","Will SOGIE Bill penalize employers who discriminate against LGBTQIA+ members?","Will SOGIE Bill provide programs to protect students in school?","Will SOGIE Bill help LGBTQIA+ members to know their rights?","Will SOGIE Bill help the LGBTQIA+ members to gain more self-confidence?","Will SOGIE Bill help the implementation of LGBTQIA+ members own public comfort room?","Will SOGIE Bill help LGBTQIA+ members to be more open about their gender identity?","Will SOGIE Bill lessen the bullying cases between LGBTQIA+ student and an ordinary student?","Do you think the SOGIE Bill is for the legalization of Same-Sex Marriage?","Do you think that SOGIE Bill is only for the LGBTQIA+ community?"
"2024/02/19 11:00:31 AM GMT+8","I agree to participate to this survey","CSCS30001","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","4","3","3","5","5","4","5","4","5","3"
"2024/02/19 11:04:26 AM GMT+8","I agree to participate to this survey","CSCS30002","CSCS","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to men","4","4","4","2","3","5","5","3","3","3","4","1"
"2024/02/19 11:06:45 AM GMT+8","I agree to participate to this survey","CSCS30003","CSCS","3rd Year","No","I know nothing at all","Male","Man","Masculine","I am ONLY attracted to women","1","1","1","1","1","1","1","1","1","1","1","1"
"2024/02/19 11:10:21 AM GMT+8","I agree to participate to this survey","CSCS30004","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","4","4","4","4","4","4","4","3","2","1"
"2024/02/19 11:12:19 AM GMT+8","I agree to participate to this survey","CSCS30005","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am NOT sexually attracted to anyone","3","2","5","3","3","5","3","2","4","3","1","1"
"2024/02/19 11:15:11 AM GMT+8","I agree to participate to this survey","CSCS30006","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am NOT sexually attracted to anyone","4","3","4","3","4","4","4","4","4","4","3","4"
"2024/02/19 11:15:21 AM GMT+8","I agree to participate to this survey","CSCS10001","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Gender Queer (both)","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","4","5","3","3","4","4","3","5","3","3","1"
"2024/02/19 11:16:28 AM GMT+8","I agree to participate to this survey","CSCS20001","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","3","5","2","5","4","3","3","2","4","3"
"2024/02/19 11:17:13 AM GMT+8","I agree to participate to this survey","CSCS10002","CSCS","1st Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am ONLY attracted to women","4","4","4","4","4","4","4","4","4","4","4","3"
"2024/02/19 11:17:55 AM GMT+8","I agree to participate to this survey","CSCS30007","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","3","4","3","4","5","4","5","4","4","4","2"
"2024/02/19 11:20:50 AM GMT+8","I agree to participate to this survey","CSCS20002","CSCS","2nd Year","Yes","I am fully knowledgeable about LGBTQIA+","Female","Woman","Feminine","Prefer not to disclose","5","5","5","5","5","5","5","5","5","5","4","1"
"2024/02/19 11:20:51 AM GMT+8","I agree to participate to this survey","CSCS10003","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","4","4","4","4","5","5","5","5","5","5","5","3"
"2024/02/19 11:21:49 AM GMT+8","I agree to participate to this survey","CSCS30008","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","5","4","4","4","5","5","3","4","4","4","4"
"2024/02/19 11:22:24 AM GMT+8","I agree to participate to this survey","CSCS10004","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am ONLY attracted to women","4","4","5","4","3","5","4","1","3","2","5","5"
"2024/02/19 11:22:37 AM GMT+8","I agree to participate to this survey","CSCS20003","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","2","2","3","1","4","5","5","5","4","3","4","1"
"2024/02/19 11:25:00 AM GMT+8","I agree to participate to this survey","CSCS10005","CSCS","1st Year","Yes","I know nothing at all","Male","Man","Masculine","I am ONLY attracted to women","2","2","2","2","2","3","2","3","3","2","3","3"
"2024/02/19 11:25:05 AM GMT+8","I agree to participate to this survey","CSCS30009","CSCS","3rd Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am ONLY attracted to women","3","3","4","3","4","4","5","4","4","3","4","4"
"2024/02/19 11:25:48 AM GMT+8","I agree to participate to this survey","CSCS20004","CSCS","2nd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Androgynous/Unisexual","I am ONLY attracted to women","3","4","5","3","4","5","3","3","3","4","4","2"
"2024/02/19 11:26:19 AM GMT+8","I agree to participate to this survey","CSCS10006","CSCS","1st Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","3","4","5","4","4","3","3","4","5","4","4"
"2024/02/19 11:27:07 AM GMT+8","I agree to participate to this survey","CSCS30010","CSCS","3rd Year","Yes","I am fully knowledgeable about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","4","5","5","5","4","1","3","3","1","1"
"2024/02/19 11:27:55 AM GMT+8","I agree to participate to this survey","CSCS10007","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","4","4","3","4","4","4","4","4","4","3","4"
"2024/02/19 11:27:56 AM GMT+8","I agree to participate to this survey","CTHM10001","CTHM","1st Year","No","I am fully knowledgeable about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to men","1","4","2","2","3","5","4","2","4","1","5","2"
"2024/02/19 11:28:32 AM GMT+8","I agree to participate to this survey","CSCS20021","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Androgynous/Unisexual","I am attracted to anyone REGARDLESS of their gender","4","5","5","4","4","4","5","1","4","3","1","3"
"2024/02/19 11:29:12 AM GMT+8","I agree to participate to this survey","CTHM10002","CTHM","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am attracted to anyone REGARDLESS of their gender","5","4","4","5","4","4","4","4","5","4","5","1"
"2024/02/19 11:30:33 AM GMT+8","I agree to participate to this survey","CTHM10003","CTHM","1st Year","No","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","5","5","5","5","5","5","5","5","5"
"2024/02/19 11:30:40 AM GMT+8","I agree to participate to this survey","CSCS20005","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","5","5","5","4","5","5","4","4","5","4","4","3"
"2024/02/19 11:30:59 AM GMT+8","I agree to participate to this survey","CSCS20022","CSCS","2nd Year","Yes","I know some basic knowledge about LGBTQIA+","Female","Woman","Feminine","I am ONLY attracted to men","3","4","4","2","4","5","5","3","4","4","4","2"
"2024/02/19 11:31:05 AM GMT+8","I agree to participate to this survey","CSCS10008","CSCS","1st Year","Yes","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","4","4","3","3","4","5","5","3","4","2","4","3"
"2024/02/19 11:31:16 AM GMT+8","I agree to participate to this survey","CSCS30011","CSCS","3rd Year","No","I know some basic knowledge about LGBTQIA+","Male","Man","Masculine","I am ONLY attracted to women","3","3","3","5","5","4","4","3","3","1","2","1"
