RESPONDENT_ID,QUESTION_ID,ANSWER
CSCS30001,0,4
CSCS30001,1,4
CSCS30001,2,4
CSCS30001,3,3
CSCS30001,4,3
CSCS30001,5,5
CSCS30001,6,5
CSCS30001,7,4
CSCS30001,8,5
CSCS30001,9,4
CSCS30001,10,5
CSCS30001,11,3
CSCS30002,0,4
CSCS30002,1,4
CSCS30002,2,4
CSCS30002,3,2
CSCS30002,4,3
CSCS30002,5,5
CSCS30002,6,5
CSCS30002,7,3
CSCS30002,8,3
CSCS30002,9,3
CSCS30002,10,4
CSCS30002,11,1
CSCS30003,0,1
CSCS30003,1,1
CSCS30003,2,1
CSCS30003,3,1
CSCS30003,4,1
CSCS30003,5,1
CSCS30003,6,1
CSCS30003,7,1
CSCS30003,8,1
CSCS30003,9,1
CSCS30003,10,1
CSCS30003,11,1
CSCS30004,0,4
CSCS30004,1,4
CSCS30004,2,4
CSCS30004,3,4
CSCS30004,4,4
CSCS30004,5,4
CSCS30004,6,4
CSCS30004,7,4
CSCS30004,8,4
CSCS30004,9,3
CSCS30004,10,2
CSCS30004,11,1
CSCS30005,0,3
CSCS30005,1,2
CSCS30005,2,5
CSCS30005,3,3
CSCS30005,4,3
CSCS30005,5,5
CSCS30005,6,3
CSCS30005,7,2
CSCS30005,8,4
CSCS30005,9,3
CSCS30005,10,1
CSCS30005,11,1
CSCS30006,0,4
CSCS30006,1,3
CSCS30006,2,4
CSCS30006,3,3
CSCS30006,4,4
CSCS30006,5,4
CSCS30006,6,4
CSCS30006,7,4
CSCS30006,8,4
CSCS30006,9,4
CSCS30006,10,3
CSCS30006,11,4
CSCS10001,0,4
CSCS10001,1,4
CSCS10001,2,5
CSCS10001,3,3
CSCS10001,4,3
CSCS10001,5,4
CSCS10001,6,4
CSCS10001,7,3
CSCS10001,8,5
CSCS10001,9,3
CSCS10001,10,3
CSCS10001,11,1
CSCS20001,0,4
CSCS20001,1,4
CSCS20001,2,3
CSCS20001,3,5
CSCS20001,4,2
CSCS20001,5,5
CSCS20001,6,4
CSCS20001,7,3
CSCS20001,8,3
CSCS20001,9,2
CSCS20001,10,4
CSCS20001,11,3
CSCS10002,0,4
CSCS10002,1,4
CSCS10002,2,4
CSCS10002,3,4
CSCS10002,4,4
CSCS10002,5,4
CSCS10002,6,4
CSCS10002,7,4
CSCS10002,8,4
CSCS10002,9,4
CSCS10002,10,4
CSCS10002,11,3
CSCS30007,0,4
CSCS30007,1,3
CSCS30007,2,4
CSCS30007,3,3
CSCS30007,4,4
CSCS30007,5,5
CSCS30007,6,4
CSCS30007,7,5
CSCS30007,8,4
CSCS30007,9,4
CSCS30007,10,4
CSCS30007,11,2
CSCS20002,0,5
CSCS20002,1,5
CSCS20002,2,5
CSCS20002,3,5
CSCS20002,4,5
CSCS20002,5,5
CSCS20002,6,5
CSCS20002,7,5
CSCS20002,8,5
CSCS20002,9,5
CSCS20002,10,4
CSCS20002,11,1
CSCS10003,0,4
CSCS10003,1,4
CSCS10003,2,4
CSCS10003,3,4
CSCS10003,4,5
CSCS10003,5,5
CSCS10003,6,5
CSCS10003,7,5
CSCS10003,8,5
CSCS10003,9,5
CSCS10003,10,5
CSCS10003,11,3
CSCS30008,0,4
CSCS30008,1,5
CSCS30008,2,4
CSCS30008,3,4
CSCS30008,4,4
CSCS30008,5,5
CSCS30008,6,5
CSCS30008,7,3
CSCS30008,8,4
CSCS30008,9,4
CSCS30008,10,4
CSCS30008,11,4
CSCS10004,0,4
CSCS10004,1,4
CSCS10004,2,5
CSCS10004,3,4
CSCS10004,4,3
CSCS10004,5,5
CSCS10004,6,4
CSCS10004,7,1
CSCS10004,8,3
CSCS10004,9,2
CSCS10004,10,5
CSCS10004,11,5
CSCS20003,0,2
CSCS20003,1,2
CSCS20003,2,3
CSCS20003,3,1
CSCS20003,4,4
CSCS20003,5,5
CSCS20003,6,5
CSCS20003,7,5
CSCS20003,8,4
CSCS20003,9,3
CSCS20003,10,4
