QUESTION_ID,QUESTION
0,Will SOGIE Bill prevent the discrimination based on sexual orientation and gender identity?
1,Will SOGIE Bill give equal access to LGBTQIA+ individual's employment?
2,Will SOGIE Bill help promote programs for non-discrimination and diversity in schools and workplace?
3,Will SOGIE Bill penalize employers who discriminate against LGBTQIA+ members?
4,Will SOGIE Bill provide programs to protect students in school?
5,Will SOGIE Bill help LGBTQIA+ members to know their rights?
6,Will SOGIE Bill help the LGBTQIA+ members to gain more self-confidence?
7,Will SOGIE Bill help the implementation of LGBTQIA+ members own public comfort room?
8,Will SOGIE Bill help LGBTQIA+ members to be more open about their gender identity?
9,Will SOGIE Bill lessen the bullying cases between LGBTQIA+ student and an ordinary student?
10,Do you think the SOGIE Bill is for the legalization of Same-Sex Marriage?
11,Do you think that SOGIE Bill is only for the LGBTQIA+ community?
