NUM,RESPONDENT_ID,COLLEGE,YEAR_LEVEL,SOGIE_VS_NO_SOGIE,NONE_BASIC_FULL,SEX,GENDER_IDENTITY,GENDER_EXPRESSION,SEXUAL_EXPRESSION
1,CSCS30001,CSCS,3,Yes,Basic,Female,Woman,Feminine,Men
2,CSCS30002,CSCS,3,Yes,Full,Male,Man,Masculine,Men
3,CSCS30003,CSCS,3,No,None,Male,Man,Masculine,Women
4,CSCS30004,CSCS,3,Yes,Basic,Female,Woman,Feminine,Men
5,CSCS30005,CSCS,3,No,Basic,Female,Woman,Feminine,Asexual
6,CSCS30006,CSCS,3,No,Basic,Female,Woman,Feminine,Asexual
7,CSCS10001,CSCS,1,Yes,Basic,Female,Queer,Androgynous,Pansexual
8,CSCS20001,CSCS,2,No,Basic,Male,Man,Masculine,Women
9,CSCS10002,CSCS,1,No,Basic,Male,Man,Androgynous,Women
10,CSCS30007,CSCS,3,Yes,Basic,Female,Woman,Feminine,Men
11,CSCS20002,CSCS,2,Yes,Full,Female,Woman,Feminine,
12,CSCS10003,CSCS,1,Yes,Basic,Female,Woman,Feminine,Men
13,CSCS30008,CSCS,3,Yes,Basic,Male,Man,Masculine,Women
14,CSCS10004,CSCS,1,Yes,Basic,Male,Man,Androgynous,Women
15,CSCS20003,CSCS,2,No,Basic,Male,Man,Masculine,Women
16,CSCS10005,CSCS,1,Yes,None,Male,Man,Masculine,Women
17,CSCS30009,CSCS,3,Yes,Basic,Male,Man,Androgynous,Women
18,CSCS20004,CSCS,2,No,Basic,Male,Man,Androgynous,Women
19,CSCS10006,CSCS,1,No,Basic,Male,Man,Masculine,Women
20,CSCS30010,CSCS,3,Yes,Full,Male,Man,Masculine,Women
21,CSCS10007,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
22,CTHM10001,CTHM,1,No,Full,Male,Man,Masculine,Men
23,CSCS20021,CSCS,2,Yes,Basic,Female,Woman,Androgynous,Pansexual
24,CTHM10002,CTHM,1,Yes,Basic,Female,Woman,Feminine,Pansexual
25,CTHM10003,CTHM,1,No,Basic,Female,Woman,Feminine,Men
26,CSCS20005,CSCS,2,Yes,Basic,Female,Woman,Feminine,Men
27,CSCS20022,CSCS,2,Yes,Basic,Female,Woman,Feminine,Men
28,CSCS10008,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
29,CSCS30011,CSCS,3,No,Basic,Male,Man,Masculine,Women
30,CTHM10004,CTHM,1,Yes,Basic,Male,Man,Androgynous,Pansexual
31,CSCS20006,CSCS,2,Yes,Basic,Male,Man,Masculine,Women
32,CSCS10009,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
33,CTHM10005,CTHM,1,Yes,Full,Female,Woman,Androgynous,Pansexual
34,CSCS,CSCS,2,Yes,Full,Female,,Feminine,Pansexual
35,CTHM10006,CTHM,1,Yes,Basic,Female,Woman,Feminine,Men
36,CSCS10010,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
37,CSCS20007,CSCS,2,Yes,Basic,Male,Man,Masculine,Women
38,CSCS20024,CSCS,2,No,Basic,Male,Man,Masculine,Women
39,CTHM10007,CTHM,1,Yes,Basic,Male,Man,Masculine,Women
40,CSCS20008,CSCS,2,Yes,Basic,Female,Woman,Feminine,Men
41,CSCS10011,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
42,CTHM10008,CTHM,1,Yes,Basic,Male,Man,Masculine,Women
43,CSCS20009,CSCS,2,Yes,Full,Female,Woman,Feminine,
44,CSCS20025,CSCS,2,Yes,Basic,Male,Man,Masculine,Women
45,CSCS10012,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
46,CTHM10009,CTHM,1,Yes,Basic,Female,Woman,Feminine,Men
47,CSCS20010,CSCS,2,Yes,Basic,Female,Woman,Feminine,Men
48,CSCS20026,CSCS,2,No,Basic,Male,Man,Masculine,Women
49,CTHM10010,CTHM,1,Yes,Full,Female,Neutral,Androgynous,Pansexual
50,CSCS20011,CSCS,2,Yes,Basic,Male,Man,Androgynous,
51,CSCS10013,CSCS,1,Yes,Basic,Male,Man,Androgynous,Women
52,CTHM10011,CTHM,1,Yes,Basic,Male,Man,Masculine,Women
53,CSCS20027,CSCS,2,Yes,Basic,Female,Queer,Feminine,Pansexual
54,CSCS20012,CSCS,2,Yes,Basic,Female,Woman,Feminine,Pansexual
55,CSCS10014,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
56,CTHM10012,CTHM,1,Yes,Basic,Male,Man,Masculine,Pansexual
57,CSCS20028,CSCS,2,No,Basic,Male,Man,Masculine,Women
58,CSCS20013,CSCS,2,Yes,Full,Female,,Androgynous,Asexual
59,CTHM10013,CTHM,1,Yes,Basic,Female,Woman,Feminine,Pansexual
60,CSCS20029,CSCS,2,Yes,Basic,Female,Woman,Androgynous,Pansexual
61,CTHM20001,CTHM,2,Yes,Basic,,,Feminine,Pansexual
62,CSCS20030,CSCS,2,No,Basic,Male,Man,Masculine,Women
63,CTHM20002,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
64,CTHM20003,CTHM,2,No,None,Female,Woman,Androgynous,Men
65,CSCS20014,CSCS,2,Yes,Basic,Female,Woman,Feminine,Asexual
66,CSCS10015,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
67,CSCS20031,CSCS,2,Yes,Basic,Female,Woman,Feminine,Men
68,CTHM20004,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
69,CSCS20015,CSCS,2,Yes,Basic,Female,Woman,,Men
70,CTHM20005,CTHM,2,Yes,Basic,Female,Woman,Feminine,Pansexual
71,CSCS10016,CSCS,1,Yes,Basic,Female,,Androgynous,Pansexual
72,CSCS20016,CSCS,2,Yes,Basic,Female,,Feminine,Pansexual
73,CTHM20006,CTHM,2,Yes,Basic,Female,Woman,Masculine,Men
74,CSCS10017,CSCS,1,No,Basic,Male,Man,Masculine,Women
75,CSCS20017,CSCS,2,No,Basic,Female,,Androgynous,Pansexual
76,CSCS20032,CSCS,2,Yes,Basic,Female,Woman,Feminine,Pansexual
77,CTHM20007,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
78,CSCS30012,CSCS,3,Yes,Basic,Male,Man,Androgynous,Pansexual
79,CSCS10018,CSCS,1,Yes,Full,Male,Neutral,Androgynous,Asexual
80,CTHM20008,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
81,CSCS20033,CSCS,2,Yes,Basic,Female,Woman,Feminine,Men
82,CSCS30013,CSCS,3,No,Basic,Male,Man,Masculine,Women
83,CTHM20009,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
84,CSCS10019,CSCS,1,Yes,Full,Female,Woman,Feminine,Men
85,CSCS20034,CSCS,2,Yes,Basic,Male,Man,Masculine,Women
86,CSCS20018,CSCS,2,No,Basic,Male,Man,Masculine,Women
87,CSCS30014,CSCS,3,No,Basic,Male,Man,Masculine,Women
88,CSCS10020,CSCS,1,Yes,Basic,Female,Woman,Androgynous,Men
89,CTHM20010,CTHM,2,No,Basic,Female,Woman,Feminine,Men
90,CSCS20019,CSCS,2,No,Basic,Male,Man,Masculine,Women
91,CSCS30015,CSCS,3,Yes,Basic,Male,Man,Masculine,Women
92,CSCS20020,CSCS,2,Yes,Basic,Female,Woman,Feminine,Men
93,CSCS10021,CSCS,1,Yes,None,Male,Man,Masculine,Women
94,CTHM20011,CTHM,2,Yes,Basic,Male,Man,Masculine,Women
95,CSCS30016,CSCS,3,No,Basic,Male,Man,Masculine,Women
96,CSCS20035,CSCS,2,Yes,Basic,Female,Woman,Feminine,
97,CTHM20012,CTHM,2,Yes,Basic,Female,Woman,Androgynous,Men
98,CTH20039,CSCS,2,Yes,Basic,,,,Pansexual
99,CTHM20013,CTHM,2,No,None,Female,Woman,Feminine,Men
100,CSCS20036,CSCS,2,No,Basic,Female,Woman,Feminine,Men
101,CSCS10022,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
102,CSCS30017,CSCS,3,No,Basic,Male,Man,Masculine,Women
103,CSCS20040,CSCS,2,Yes,Basic,Female,Woman,Feminine,Men
104,CSCS10023,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
105,CSCS20037,CSCS,2,Yes,Full,Male,Man,,Men
106,CSCS30018,CSCS,3,No,Basic,Male,Man,Androgynous,Women
107,CTHM30001,CTHM,3,Yes,Full,Female,Queer,Androgynous,Pansexual
108,CSCS20038,CSCS,2,No,Basic,Female,Queer,Androgynous,Pansexual
109,CTHM30002,CTHM,3,Yes,Full,Female,Woman,Androgynous,
110,CSCS30019,CSCS,3,Yes,Basic,Female,Woman,,Pansexual
111,CSCS40005,CSCS,4,Yes,None,Male,Man,Masculine,Women
112,CTHM30003,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
113,CSCS40001,CSCS,4,Yes,Basic,Female,Queer,Feminine,Pansexual
114,CSCS40006,CSCS,4,Yes,Basic,Female,Woman,Androgynous,Pansexual
115,CSCS30020,CSCS,3,Yes,Basic,Female,Woman,Feminine,Men
116,CTHM30004,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
117,CSCS40007,CSCS,4,Yes,Basic,Male,Man,Masculine,Women
118,CTHM30005,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
119,CSCS30021,CSCS,3,Yes,Basic,Female,Woman,Feminine,Men
120,CTHM30006,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
121,CSCS40002,CSCS,4,Yes,Basic,Female,Neutral,Feminine,Pansexual
122,CSCS30022,CSCS,3,Yes,Full,Male,Man,Masculine,Women
123,CSCS20041,CSCS,4,No,Basic,Female,Woman,Feminine,Men
124,CTHM30007,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
125,CSCS10024,CSCS,1,No,Basic,Male,Man,Masculine,Women
126,CSCS40003,CSCS,4,Yes,Full,Female,Neutral,Androgynous,Pansexual
127,CTHM30008,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
128,CSCS30023,CSCS,3,Yes,Basic,Male,Man,Masculine,Women
129,CSCS20041,CSCS,2,Yes,Basic,Female,Woman,Feminine,Men
130,CTHM30009,CTHM,3,Yes,Full,Female,Woman,Feminine,Men
131,CSCS20042,CSCS,2,Yes,Basic,Male,Man,Masculine,Women
132,CSCS40004,CSCS,4,Yes,Basic,Female,Woman,Feminine,Pansexual
133,CTHM40001,CTHM,4,Yes,Basic,Male,Man,Masculine,Women
134,CSCS30024,CSCS,3,Yes,None,Female,Woman,Feminine,Men
135,CSCS10025,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
136,CSCS30025,CSCS,3,Yes,Basic,Female,Woman,Feminine,Men
137,CTHM40002,CTHM,4,Yes,Basic,Female,Woman,Feminine,Men
138,CTHM40003,CTHM,4,Yes,Basic,Female,Woman,Feminine,Men
139,CSCS30026,CSCS,3,Yes,Basic,Male,,,
140,CSCS10026,CSCS,1,Yes,Basic,Male,Man,Masculine,Women
141,CSCS30027,CSCS,3,Yes,Basic,Female,Woman,Feminine,Men
142,CSCS10027,CSCS,1,No,Basic,Male,Man,Masculine,Women
143,CSCS30028,CSCS,3,Yes,Basic,Female,Woman,Feminine,Men
144,CSCS30029,CSCS,3,Yes,Full,Female,Woman,Feminine,Men
145,CSCS30030,CSCS,3,Yes,Full,Female,Woman,Feminine,Men
146,CSCS30031,CSCS,3,Yes,Full,Female,Woman,Feminine,Men
147,CSCS30032,CSCS,3,Yes,Basic,Male,Man,Masculine,Women
148,CSCS30033,CSCS,3,Yes,Basic,Male,Man,Masculine,Women
149,CSCS30034,CSCS,3,Yes,Basic,Female,Woman,Androgynous,Women
150,CSCS30035,CSCS,3,Yes,Basic,Male,Man,Androgynous,Pansexual
151,CSCS30036,CSCS,3,Yes,Basic,Female,Woman,Feminine,Men
152,CSCS30037,CSCS,3,Yes,Basic,Male,Man,Androgynous,Pansexual
153,CSCS30038,CSCS,3,No,Basic,Male,Man,Androgynous,Men
154,CSCS30039,CSCS,3,No,Basic,Male,Man,Masculine,Asexual
155,CLAC10001,CLAC,1,Yes,Basic,Male,Man,Masculine,Women
156,CSCS30040,CSCS,3,No,Basic,Female,Woman,Feminine,Men
157,CLAC10002,CLAC,1,No,None,Female,Woman,Feminine,Men
158,CSCS30041,CSCS,3,Yes,Basic,Male,Man,Masculine,Women
159,CLAC10003,CLAC,1,Yes,Full,Female,Woman,Feminine,Women
160,CLAC10004,CLAC,1,Yes,Basic,Intersex,Queer,Masculine,Pansexual
161,CLAC10005,CLAC,1,No,Full,Female,Woman,Feminine,Men
162,CLAC10006,CLAC,1,Yes,Basic,Female,Woman,Feminine,Men
163,CLAC10007,CLAC,1,Yes,Basic,Male,Neutral,Androgynous,Pansexual
164,CLAC10008,CLAC,1,Yes,Full,Male,Man,Feminine,Women
165,CLAC20001,CLAC,2,Yes,Basic,Female,Woman,Feminine,Men
166,CLAC20002,CLAC,2,Yes,Basic,Female,Woman,,Men
167,CLAC20003,CLAC,2,No,Basic,Female,Woman,Feminine,Men
168,CLAC20004,CLAC,2,Yes,Basic,Male,Man,Androgynous,Women
169,CLAC20005,CLAC,2,Yes,Basic,Female,Woman,Feminine,Men
170,CLAC20006,CLAC,2,Yes,Basic,Female,Woman,Feminine,Women
171,CTHM20014,CTHM,2,No,Basic,Female,Woman,Feminine,Pansexual
172,CLAC20007,CLAC,2,Yes,Basic,Female,Woman,Feminine,
173,CTHM20015,CTHM,2,Yes,Basic,Female,Woman,Feminine,Pansexual
174,CLAC20008,CLAC,2,Yes,Full,Female,Queer,Feminine,Pansexual
175,CTHM20016,CTHM,2,Yes,Basic,Male,Queer,Androgynous,Men
176,CTHM20017,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
177,CLAC20009,CLAC,2,Yes,Full,Male,,,
178,CLAC30001,CLAC,3,Yes,Basic,Female,Woman,Feminine,Pansexual
179,CTHM20018,CTHM,2,Yes,Basic,Female,Woman,Feminine,Pansexual
180,CLAC20010,CLAC,2,No,Basic,Female,Woman,Feminine,Men
181,CLAC40001,CLAC,4,Yes,Basic,Male,Man,Androgynous,Women
182,CTHM20019,CTHM,2,Yes,Basic,,,Feminine,Pansexual
183,CLAC30002,CLAC,3,Yes,Basic,Male,Man,Masculine,Women
184,CLAC20011,CLAC,2,Yes,Basic,Male,Man,Masculine,Women
185,CLAC40002,CLAC,4,Yes,Basic,Female,Woman,Feminine,Men
186,CLAC30003,CLAC,3,Yes,Full,Female,,Feminine,Men
187,CLAC20012,CLAC,2,Yes,Full,,Queer,Androgynous,Pansexual
188,CLAC30004,CLAC,3,Yes,Full,,Woman,Feminine,Men
189,CLAC20013,CLAC,2,Yes,Basic,Female,Queer,Androgynous,Pansexual
190,CTHM20020,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
191,CLAC40003,CLAC,4,Yes,Basic,Female,Woman,Feminine,Men
192,CLAC30005,CLAC,3,Yes,Full,,Woman,Androgynous,Pansexual
193,CLAC40004,CLAC,4,Yes,Basic,Male,Man,Masculine,Women
194,CLAC20014,CLAC,2,Yes,Basic,Female,Woman,Feminine,Men
195,CLAC30006,CLAC,3,Yes,Full,,Woman,Feminine,
196,CLAC40005,CLAC,4,Yes,Basic,Male,Neutral,Feminine,Men
197,CLAC20015,CLAC,2,Yes,Basic,Female,Woman,Feminine,Pansexual
198,CLAC40006,CLAC,4,Yes,Full,Female,Woman,Androgynous,Pansexual
199,CLAC30007,CLAC,3,Yes,Full,Male,Neutral,Androgynous,Pansexual
200,CTHM20021,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
201,CLAC20016,CLAC,2,Yes,Basic,Male,Queer,Androgynous,
202,CTHM20022,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
203,CLAC30008,CLAC,3,Yes,Full,,,Feminine,Men
204,CLAC20017,CLAC,2,Yes,Basic,Female,Woman,Androgynous,Men
205,CLAC30009,CLAC,3,Yes,Full,Male,Man,Masculine,Women
206,CTHM20023,CTHM,2,Yes,Basic,Female,Woman,Feminine,Pansexual
207,CLAC40007,CLAC,4,Yes,Basic,Male,Man,Masculine,Women
208,CTHM20024,CTHM,2,Yes,None,Female,Woman,Androgynous,Pansexual
209,CLAC20018,CLAC,2,Yes,Basic,Male,Man,Masculine,Women
210,CLAC30010,CLAC,3,Yes,Full,,Woman,Feminine,Men
211,CTHM20025,CTHM,2,No,Basic,Female,Woman,Feminine,Men
212,CLAC40008,CLAC,4,Yes,Basic,Female,Woman,Feminine,Pansexual
213,CTHM20026,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
214,CTHM10014,CTHM,1,Yes,Full,Female,Neutral,Feminine,Pansexual
215,CTHM20027,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
216,CLAC40009,CLAC,4,Yes,Basic,Female,Woman,Feminine,Men
217,CTHM20028,CTHM,2,Yes,Basic,Female,Woman,Feminine,Men
218,CTHM10015,CTHM,1,Yes,Basic,Female,Woman,Feminine,Men
219,CLAC40010,CLAC,4,Yes,Basic,Female,Woman,Androgynous,Pansexual
220,CTHM20029,CTHM,2,No,Basic,Female,Woman,Feminine,Men
221,CTHM10016,CTHM,1,Yes,Basic,Female,Woman,Feminine,Men
222,CTHM20030,CTHM,2,Yes,Basic,Male,Man,Masculine,Women
223,CTHM30010,CTHM,3,No,Basic,Female,Woman,Feminine,Men
224,CTHM30011,CTHM,3,Yes,Basic,Male,Man,Masculine,Women
225,CTHM30012,CTHM,3,Yes,Basic,Male,Man,Masculine,Men
226,CTHM30013,CTHM,3,Yes,Basic,Male,Man,Masculine,Women
227,CTHM30014,CTHM,3,No,Basic,Male,Man,Masculine,Women
228,CTHM30015,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
229,CTHM30016,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
230,CTHM30017,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
231,CTHM30018,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
232,CTHM30019,CTHM,3,No,Basic,Female,Woman,Feminine,Men
233,CTHM30020,CTHM,3,Yes,Full,Female,Woman,Feminine,Men
234,CTHM30021,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
235,CTHM30022,CTHM,3,Yes,Full,Male,Man,Androgynous,
236,CTHM30023,CTHM,3,No,Basic,Female,Woman,Feminine,Men
237,CTHM30024,CTHM,3,No,Basic,Male,Man,Masculine,Women
238,CLAC10009,CLAC,1,Yes,Basic,Female,Woman,Feminine,Pansexual
239,CLAC10010,CLAC,1,Yes,Basic,Female,Woman,Masculine,Pansexual
240,CLAC20019,CLAC,2,Yes,Basic,Female,Woman,Androgynous,Men
241,CLAC20020,CLAC,2,Yes,Basic,Female,Woman,Feminine,Men
242,CLAC20021,CLAC,2,Yes,Basic,Female,Woman,Feminine,Men
243,CLAC30011,CLAC,3,Yes,Basic,Female,Woman,Feminine,Men
244,CLAC30012,CLAC,3,Yes,Full,Male,Queer,Androgynous,Pansexual
245,CLAC30013,CLAC,3,Yes,Basic,Intersex,Queer,Androgynous,Pansexual
246,CLAC30014,CLAC,3,Yes,Basic,Male,Man,Masculine,Women
247,CLAC40011,CLAC,4,Yes,Basic,Female,Woman,Feminine,Men
248,CLAC40012,CLAC,4,No,Basic,Female,Woman,Feminine,Pansexual
249,CLAC40013,CLAC,4,Yes,Basic,Female,Woman,Feminine,Men
250,CLAC40014,CLAC,4,Yes,Basic,Female,Woman,Feminine,Men
251,CLAC30015,CLAC,3,Yes,Basic,Male,Man,Androgynous,Women
252,CLAC10013,CLAC,1,Yes,Full,Male,Man,Androgynous,Pansexual
253,CLAC10012,CLAC,1,Yes,Basic,Female,Woman,Feminine,Men
254,CLAC10011,CLAC,1,Yes,Basic,Female,Queer,Androgynous,Pansexual
255,CLAC20023,CLAC,2,Yes,Basic,Female,Woman,Androgynous,Pansexual
256,CLAC20022,CLAC,2,Yes,Full,Female,Woman,Androgynous,Men
257,CTHM20031,CTHM,2,No,Basic,Male,Man,Androgynous,Women
258,CLAC20024,CLAC,2,Yes,Basic,Female,Woman,Androgynous,Men
259,CTHM10017,CTHM,1,No,Basic,Female,Woman,Feminine,Men
260,CTHM10018,CTHM,1,No,Basic,Female,Woman,Feminine,Men
261,CTHM10019,CTHM,1,No,Basic,Female,Woman,Feminine,Men
262,CTHM10020,CTHM,1,Yes,Full,Female,Queer,Androgynous,Pansexual
263,CTHM10021,CTHM,1,Yes,Basic,Female,Woman,Feminine,Men
264,CTHM10022,CTHM,1,Yes,Full,Female,Queer,Androgynous,Pansexual
265,CTHM10023,CTHM,1,Yes,Basic,Female,Woman,Feminine,Men
266,CLAC10014,CLAC,1,Yes,Basic,Female,Woman,Feminine,Men
267,CTHM10024,CTHM,1,Yes,Basic,Female,Woman,Feminine,Men
268,CLAC10015,CLAC,1,Yes,Basic,Female,Woman,Feminine,Pansexual
269,CTHM10025,CTHM,1,No,Basic,Male,Man,Masculine,Women
270,CLAC10016,CLAC,1,Yes,Full,Male,Man,Androgynous,Men
271,CTHM10026,CTHM,1,Yes,Basic,Male,Man,Androgynous,Women
272,CLAC10017,CLAC,1,Yes,Full,Female,Woman,Feminine,Men
273,CLAC10018,CLAC,1,Yes,Basic,Female,Woman,Feminine,Men
274,CTHM10027,CTHM,1,Yes,Basic,Male,Man,Masculine,Women
275,CTHM10028,CTHM,1,Yes,Basic,Male,Man,Androgynous,
276,CLAC10019,CLAC,1,No,Full,Female,Woman,Feminine,Men
277,CLAC10020,CLAC,1,Yes,Full,Male,Man,Masculine,
278,CTHM10029,CTHM,1,No,Basic,Male,Man,Masculine,Women
279,CLAC20025,CLAC,2,Yes,Full,Male,Man,,Women
280,CTHM10030,CTHM,1,No,None,Male,Man,Masculine,Pansexual
281,CLAC20026,CLAC,2,Yes,Full,Female,Woman,Masculine,Women
282,CTHM10031,CTHM,1,Yes,Basic,Male,Woman,Feminine,Men
283,CTHM10032,CTHM,1,Yes,Basic,Female,Woman,Feminine,Men
284,CLAC20027,CLAC,2,Yes,Full,Female,Woman,Feminine,Men
285,CLAC20028,CLAC,2,Yes,Basic,Male,Man,Androgynous,Women
286,CTHM10033,CTHM,1,Yes,Basic,,Man,Masculine,Men
287,CLAC20029,CLAC,2,Yes,Basic,Male,Man,Masculine,Women
288,CTHM10034,CTHM,1,Yes,Basic,Female,Woman,Feminine,Men
289,CLAC30016,CLAC,3,Yes,Basic,Female,Woman,Feminine,Men
290,CLAC30017,CLAC,3,Yes,Basic,Female,Woman,Feminine,Men
291,CTHM10035,CTHM,1,Yes,Full,Female,Queer,Masculine,Women
292,CLAC30018,CLAC,3,Yes,Basic,Female,Woman,Feminine,Men
293,CTHM10036,CTHM,1,Yes,Full,Female,Woman,Feminine,Men
294,CTHM30025,CTHM,3,No,Basic,Female,Woman,Feminine,Men
295,CLAC30019,CLAC,3,Yes,Basic,Female,Woman,Feminine,Men
296,CTHM30026,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
297,CLAC30020,CLAC,3,Yes,Basic,Male,Man,Masculine,Women
298,CLAC30021,CLAC,3,Yes,Basic,Female,Woman,Feminine,Men
299,CTHM30027,CTHM,3,Yes,Basic,Male,Man,Masculine,Women
300,CLAC30022,CLAC,3,Yes,Basic,Female,Woman,Feminine,Men
301,CLAC30023,CLAC,3,Yes,Basic,Male,Man,Masculine,
302,CTHM30028,CTHM,3,No,Basic,,,Androgynous,Women
303,CLAC30024,CLAC,3,Yes,Basic,Female,Woman,Feminine,Men
304,CTHM30029,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
305,CLAC30025,CLAC,3,Yes,Full,Female,Woman,Feminine,Pansexual
306,CTHM30030,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
307,CTHM30031,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
308,CLAC40015,CLAC,4,Yes,Full,Female,Queer,Androgynous,Women
309,CTHM30032,CTHM,3,No,Basic,Male,Man,Masculine,Women
310,CTHM30033,CTHM,3,Yes,Basic,Male,Man,Masculine,Women
311,CTHM30034,CTHM,3,No,Basic,Female,Woman,Feminine,Men
312,CTHM30035,CTHM,3,No,Basic,Female,Woman,Masculine,Pansexual
313,CTHM30036,CTHM,3,No,Basic,Female,Woman,Feminine,Pansexual
314,CTHM30037,CTHM,3,Yes,Basic,Female,Woman,Androgynous,Men
315,CTHM30038,CTHM,3,Yes,None,Female,Woman,,Pansexual
316,CTHM30039,CTHM,3,Yes,Basic,Female,Woman,Feminine,Men
317,CTHM30040,CTHM,3,Yes,Full,Male,Man,Androgynous,Women
318,CTHM30041,CTHM,3,No,None,Male,Man,Masculine,Women
